,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"7,387,471","+75,947","415,779","+2,807","3,640,755","3,330,937","53,935"
1,1,USA,"2,053,217","+7,668","114,408 ",+260,"789,558","1,149,251","16,875"
2,2,Brazil,"747,561","+5,477","38,701 ",+204,"325,602","383,258","8,318"
3,3,Russia,"493,657","+8,404","6,358 ",+216,"252,783","234,516","2,300"
4,4,UK,"290,143","+1,003","41,128 ",+245,N/A,N/A,516
5,5,Spain,"289,046",,"27,136 ",,N/A,N/A,617
6,6,India,"286,532","+11,752","8,098 ",+379,"140,809","137,625","8,944"
7,7,Italy,"235,763",+202,"34,114 ",+71,"169,939","31,710",249
8,8,Peru,"203,736",,"5,738 ",,"92,929","105,069","1,077"
9,9,Germany,"186,866",+350,"8,840 ",+9,"170,700","7,326",533
10,10,Iran,"177,938","+2,011","8,506 ",+81,"140,590","28,842","2,639"
11,11,Turkey,"172,114",,"4,729 ",,"144,598","22,787",642
12,12,France,"154,591",,"29,296 ",,"71,506","53,789",955
13,13,Chile,"148,496","+5,737","2,475 ",+192,"95,631","50,390","1,689"
14,14,Mexico,"124,301","+4,199","14,649 ",+596,"90,748","18,904",378
15,15,Pakistan,"113,702","+5,385","2,255 ",+83,"36,308","75,139",111
16,16,Saudi Arabia,"112,288","+3,717",819 ,+36,"77,954","33,515","1,693"
17,17,Canada,"96,904",+251,"7,908 ",+11,"56,122","32,874","1,864"
18,18,Bangladesh,"74,865","+3,190","1,012 ",+37,"15,900","57,953",1
19,19,Qatar,"73,595","+1,716",66 ,+4,"49,413","24,116",226
20,20,Belgium,"59,569",+132,"9,629 ",+10,"16,392","33,548",102
21,21,South Africa,"52,991",,"1,162 ",,"29,006","22,823",208
22,22,Belarus,"51,066",+801,288 ,+6,"25,667","25,111",92
23,23,Netherlands,"48,087",+184,"6,042 ",+11,N/A,N/A,80
24,24,Sweden,"46,814",+198,"4,795 ",+78,N/A,N/A,288
25,25,Ecuador,"43,917",,"3,690 ",,"21,020","19,207",219
