,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"9,768,215","+64,885","493,090","+2,101","5,290,746","3,984,379","57,494"
1,1,USA,"2,510,823","+6,235","126,893 ",+113,"1,052,452","1,331,478","15,705"
2,2,Brazil,"1,233,147",,"55,054 ",,"673,729","504,364","8,318"
3,3,Russia,"620,794","+6,800","8,781 ",+176,"384,152","227,861","2,300"
4,4,India,"498,404","+7,234","15,424 ",+116,"290,300","192,680","8,944"
5,5,UK,"307,980",,"43,230 ",,N/A,N/A,311
6,6,Spain,"294,985",+419,"28,338 ",+8,N/A,N/A,617
7,7,Peru,"268,602",,"8,761 ",,"156,074","103,767","1,144"
8,8,Chile,"263,360","+4,296","5,068 ",+165,"223,431","34,861","2,086"
9,9,Italy,"239,706",,"34,678 ",,"186,725","18,303",103
10,10,Iran,"217,724","+2,628","10,239 ",+109,"177,852","29,633","2,912"
11,11,Mexico,"202,951","+6,104","25,060 ",+736,"116,862","61,029",378
12,12,Pakistan,"195,745","+2,775","3,962 ",+59,"84,168","107,615","2,765"
13,13,Germany,"194,013",+228,"9,012 ",,"177,100","7,901",364
14,14,Turkey,"193,115",,"5,046 ",,"165,706","22,363",941
15,15,Saudi Arabia,"174,577","+3,938","1,474 ",+46,"120,471","52,632","2,273"
16,16,France,"161,348",,"29,752 ",,"75,351","56,245",651
17,17,Bangladesh,"130,474","+3,868","1,661 ",+40,"53,133","75,680",1
18,18,South Africa,"118,375",,"2,292 ",,"59,974","56,109",539
19,19,Canada,"102,622",,"8,504 ",,"65,425","28,693","2,077"
20,20,Qatar,"92,784",+946,109 ,+3,"76,072","16,603",200
21,21,Colombia,"80,599",,"2,654 ",,"33,349","44,596",335
22,22,Sweden,"65,137",+303,"5,280 ",+50,N/A,N/A,171
23,23,Egypt,"61,130",,"2,533 ",,"16,338","42,259",41
24,24,Belgium,"61,106",+99,"9,731 ",+5,"16,918","34,457",38
25,25,Belarus,"60,713",+331,373 ,+6,"42,689","17,651",89
26,26,Ecuador,"53,156",,"4,343 ",,"26,097","22,716",288
27,27,Argentina,"52,457",,"1,167 ",+17,"18,416","32,874",457
28,28,Indonesia,"51,427","+1,240","2,683  ",+63,"21,333","27,411",
29,29,Netherlands,"50,005",+91,"6,103 ",+3,N/A,N/A,49
30,30,UAE,"46,973",+410,310 ,+2,"35,469","11,194",1
31,31,Kuwait,"43,703",+915,341 ,+2,"33,969","9,393",162
32,32,Singapore,"42,955",+219,26 ,,"36,825","6,104",1
33,33,Iraq,"41,193","+2,054","1,559 ",+122,"18,859","20,775",247
34,34,Ukraine,"41,117","+1,109","1,086 ",+19,"18,299","21,732",378
35,35,Portugal,"40,866",+451,"1,555 ",+6,"26,633","12,678",67
36,36,Oman,"36,034","+1,132",153 ,+9,"19,482","16,399",105
37,37,Philippines,"34,073","+1,004","1,224 ",+12,"9,182","23,667",137
38,38,Poland,"33,395",+276,"1,429 ",+17,"19,218","12,748",77
39,39,Switzerland,"31,486",+58,"1,962 ",+4,"29,000",524,12
40,40,Afghanistan,"30,451",+276,683 ,+8,"10,306","19,462",19
41,41,Dominican Republic,"29,764",+623,712 ,+14,"16,357","12,695",181
42,42,Panama,"29,037",,564 ,,"14,800","13,673",130
43,43,Bolivia,"28,503","+1,016",913 ,+37,"7,338","20,252",71
44,44,Romania,"25,697",+411,"1,579 ",+14,"18,181","5,937",186
45,45,Ireland,"25,405",,"1,727 ",,"23,364",314,9
46,46,Bahrain,"24,081",,71 ,,"18,501","5,509",38
47,47,Armenia,"23,247",+759,410 ,+13,"12,149","10,688",10
48,48,Israel,"22,638",+238,313 ,+4,"16,589","5,736",43
49,49,Nigeria,"22,614",,549 ,,"7,822","14,243",7
50,50,Kazakhstan,"19,750",+465,140 ,,"12,220","7,390",121
51,51,Japan,"18,110",,968 ,,"16,320",822,58
52,52,Austria,"17,522",+45,698 ,,"16,348",476,10
53,53,Moldova,"15,776",+323,515 ,+13,"8,765","6,496",455
54,54,Guatemala,"15,619",+800,623 ,+22,"2,949","12,047",5
55,55,Ghana,"15,473",,95 ,,"11,431","3,947",6
56,56,Azerbaijan,"15,369",+517,187 ,+7,"8,364","6,818",66
57,57,Honduras,"15,366",+795,426 ,+9,"1,600","13,340",13
58,58,Serbia,"13,565",+193,265 ,+1,"12,232","1,068",26
59,59,Denmark,"12,675",+39,604 ,+1,"11,508",563,11
60,60,S. Korea,"12,602",+39,282 ,,"11,172","1,148",15
61,61,Cameroon,"12,592",,313 ,,"10,100","2,179",52
62,62,Algeria,"12,445",,878 ,,"8,920","2,647",45
63,63,Nepal,"11,755",+593,27 ,+1,"2,698","9,030",
64,64,Morocco,"11,465",+127,217 ,,"8,560","2,688",7
65,65,Czechia,"10,870",,345 ,,"7,649","2,876",13
66,66,Sudan,"9,084",+100,559 ,+3,"3,912","4,613",
67,67,Norway,"8,828",+40,249 ,,"8,138",441,4
68,68,Malaysia,"8,606",+6,121 ,,"8,294",191,2
69,69,Ivory Coast,"8,334",,60 ,,"3,487","4,787",
70,70,Australia,"7,595",+37,104 ,,"6,958",533,1
71,71,Uzbekistan,"7,228",+51,20 ,,"4,877","2,331",26
72,72,Finland,"7,191",+19,328 ,+1,"6,600",263,1
73,73,DRC,"6,552",+141,149 ,+7,900,"5,503",
74,74,Senegal,"6,354",+121,98 ,+4,"4,193","2,063",27
75,75,North Macedonia,"5,758",+163,268 ,+3,"2,206","3,284",55
76,76,Tajikistan,"5,747",+56,52 ,,"4,331","1,364",
77,77,Haiti,"5,543",+114,96 ,+4,512,"4,935",
78,78,Kenya,"5,533",+149,137 ,+5,"1,905","3,491",7
79,79,El Salvador,"5,517",+181,133 ,+7,"3,291","2,093",137
80,80,Ethiopia,"5,425",+250,89 ,+8,"1,688","3,648",27
81,81,Guinea,"5,174",,29 ,,"3,861","1,284",24
82,82,Gabon,"5,087",,40 ,,"2,270","2,777",10
83,83,Djibouti,"4,643",+8,52 ,,"4,348",243,
84,84,Venezuela,"4,563",,39 ,,"1,327","3,197",9
85,85,Bulgaria,"4,408",,211 ,,"2,370","1,827",16
86,86,Kyrgyzstan,"4,204",+250,43 ,,"2,162","1,999",30
87,87,Luxembourg,"4,151",,110 ,,"3,968",73,1
88,88,Hungary,"4,127",+4,578 ,+1,"2,663",886,13
89,89,Bosnia and Herzegovina,"3,935",+139,178 ,+3,"2,338","1,419",4
90,90,Mauritania,"3,739",,119 ,,"1,225","2,395",21
91,91,Greece,"3,343",+22,191 ,,"1,374","1,778",11
92,92,CAR,"3,244",,40 ,,607,"2,597",2
93,93,Thailand,"3,162",+4,58 ,,"3,040",64,1
94,94,French Guiana,"3,033",,10 ,,"1,096","1,927",15
95,95,Somalia,"2,878",,90 ,,868,"1,920",2
96,96,Costa Rica,"2,684",,12 ,,"1,227","1,445",6
97,97,Croatia,"2,539",+56,107 ,,"2,150",282,
98,98,Mayotte,"2,508",,32 ,,"2,218",258,8
99,99,Cuba,"2,325",+4,85 ,,"2,180",60,1
100,100,Maldives,"2,277",,8 ,,"1,848",421,9
101,101,Albania,"2,269",+77,51 ,+2,"1,298",920,15
102,102,Nicaragua,"2,170",,74 ,,"1,238",858,
103,103,Mali,"2,039",,113 ,,"1,383",543,
104,104,Sri Lanka,"2,010",,11 ,,"1,619",380,1
105,105,Equatorial Guinea,"2,001",,32 ,,515,"1,454",
106,106,Estonia,"1,986",+2,69 ,,"1,797",120,1
107,107,South Sudan,"1,942",,36 ,,224,"1,682",1
108,108,Madagascar,"1,922",+93,16 ,,862,"1,044",20
109,109,Iceland,"1,832",+2,10 ,,"1,813",9,
110,110,Lithuania,"1,808",+2,78 ,,"1,501",229,16
111,111,Lebanon,"1,697",+35,33 ,,"1,144",520,6
112,112,Slovakia,"1,643",+13,28 ,,"1,455",160,
113,113,Paraguay,"1,569",,13 ,,976,580,2
114,114,Slovenia,"1,558",+11,109 ,,"1,376",73,2
115,115,Guinea-Bissau,"1,556",,19 ,,191,"1,346",5
116,116,New Zealand,"1,520",+1,22 ,,"1,484",14,
117,117,Palestine,"1,514",+132,3 ,,446,"1,065",
118,118,Zambia,"1,497",,18 ,,"1,223",256,1
119,119,Sierra Leone,"1,354",,56 ,,869,429,
120,120,Hong Kong,"1,197",+3,7 ,,"1,091",99,1
121,121,Tunisia,"1,164",+2,50 ,,"1,023",91,
122,122,Latvia,"1,112",+1,30 ,,932,150,1
123,123,Congo,"1,087",,37 ,,456,594,
124,124,Jordan,"1,086",,9 ,,797,280,3
125,125,Yemen,"1,076",,288 ,,386,402,
126,126,Niger,"1,059",+3,67 ,,919,73,
127,127,Benin,"1,053",+36,14 ,,292,747,2
128,128,Cabo Verde,"1,027",+24,9 ,+1,562,456,
129,129,Cyprus,992,,19 ,,824,149,
130,130,Malawi,960,,12 ,,260,688,4
131,131,Burkina Faso,941,+7,53 ,,830,58,
132,132,Georgia,919,+2,14 ,,780,125,5
133,133,Uruguay,907,,26 ,,818,63,2
134,134,Chad,865,+2,74 ,,778,13,
135,135,Andorra,855,,52 ,,797,6,1
136,136,Rwanda,850,,2 ,,385,463,
137,137,Uganda,833,+12, ,,761,72,
138,138,Mozambique,816,+28,5 ,,223,588,
139,139,Diamond Princess,712,,13 ,,651,48,4
140,140,Sao Tome and Principe,711,,13 ,,214,484,
141,141,Eswatini,706,,8 ,,347,351,5
142,142,San Marino,698,,42 ,,656,0,
143,143,Libya,698,,18 ,,140,540,
144,144,Liberia,684,+3,34 ,,285,365,
145,145,Jamaica,684,+6,10 ,,526,148,
146,146,Malta,670,+2,9 ,,632,29,
147,147,Togo,588,,14 ,,394,180,2
148,148,Channel Islands,571,,47 ,,512,12,
149,149,Zimbabwe,551,,6 ,,128,417,
150,150,Réunion,516,,2 ,,460,54,4
151,151,Tanzania,509,,21 ,,183,305,7
152,152,Taiwan,447,,7 ,,435,5,
153,153,Montenegro,439,+25,9 ,,315,115,
154,154,Suriname,373,,10 ,,176,187,7
155,155,Vietnam,353,+1, ,,330,23,1
156,156,Mauritius,341,,10 ,,326,5,
157,157,Isle of Man,336,,24 ,,312,0,
158,158,Myanmar,293,,6 ,,211,76,
159,159,Comoros,272,,7 ,,161,104,
160,160,Syria,242,,7 ,,96,139,
161,161,Martinique,236,,14 ,,98,124,
162,162,Mongolia,219,+3, ,,170,49,6
163,163,Guyana,215,,12 ,,108,95,1
164,164,Angola,212,,10 ,,81,121,1
165,165,Cayman Islands,196,,1 ,,184,11,
166,166,Faeroe Islands,187,, ,,187,0,
167,167,Gibraltar,176,, ,,176,0,
168,168,Guadeloupe,174,,14 ,,157,3,
169,169,Bermuda,146,,9 ,,133,4,1
170,170,Burundi,144,,1 ,,93,50,
171,171,Eritrea,144,, ,,39,105,
172,172,Brunei ,141,,3 ,,138,0,
173,173,Cambodia,130,, ,,127,3,1
174,174,Trinidad and Tobago,123,,8 ,,109,6,
175,175,Namibia,105,+3, ,,21,84,1
176,176,Bahamas,104,,11 ,,84,9,1
177,177,Monaco,102,,4 ,,95,3,
178,178,Aruba,101,,3 ,,98,0,
179,179,Barbados,97,,7 ,,85,5,1
180,180,Botswana,92,,1 ,,25,66,1
181,181,Liechtenstein,82,,1 ,,81,0,
182,182,Sint Maarten,77,,15 ,,62,0,
183,183,Bhutan,70,, ,,38,32,
184,184,Antigua and Barbuda,65,,3 ,,22,40,1
185,185,French Polynesia,60,, ,,60,0,
186,186,Macao,46,+1, ,,45,1,
187,187,Gambia,43,+1,2 ,,26,15,
188,188,Saint Martin,42,,3 ,,36,3,1
189,189,St. Vincent Grenadines,29,, ,,29,0,
190,190,Timor-Leste,24,, ,,24,0,
191,191,Belize,23,,2 ,,17,4,
192,192,Curaçao,23,,1 ,,19,3,
193,193,Grenada,23,, ,,23,0,
194,194,New Caledonia,21,, ,,21,0,
195,195,Laos,19,, ,,19,0,
196,196,Saint Lucia,19,, ,,19,0,
197,197,Dominica,18,, ,,18,0,
198,198,Fiji,18,, ,,18,0,
199,199,Lesotho,17,, ,,2,15,
200,200,Turks and Caicos,16,+1,1 ,,11,4,
201,201,Saint Kitts and Nevis,15,, ,,15,0,
202,202,Falkland Islands,13,, ,,13,0,
203,203,Greenland,13,, ,,13,0,
204,204,Vatican City,12,, ,,12,0,
205,205,Montserrat,11,,1 ,,10,0,
206,206,Papua New Guinea,11,+1, ,,8,3,
207,207,Seychelles,11,, ,,11,0,
208,208,Western Sahara,10,,1 ,,8,1,
209,209,MS Zaandam,9,,2 ,,,7,
210,210,British Virgin Islands,8,,1 ,,7,0,
211,211,Caribbean Netherlands,7,, ,,7,0,
212,212,St. Barth,6,, ,,6,0,
213,213,Anguilla,3,, ,,3,0,
214,214,Saint Pierre Miquelon,1,, ,,1,0,
215,215,China,"83,462",+13,"4,634 ",,"78,439",389,8
216,,Total:,"2,926,681","+14,863","163,286",+905,"1,280,685","1,482,710","18,638"
217,,Total:,"1,990,497","+5,312","78,070",+219,"1,142,948","769,479","12,735"
218,,Total:,"2,384,777","+11,754","189,826",+333,"1,325,735","869,216","6,078"
219,,Total:,"2,104,345","+31,807","52,635",+616,"1,362,851","688,859","19,159"
220,,Total:,"351,969","+1,110","9,132",+28,"169,327","173,510",879
221,,Total:,"9,225",+39,126,,"8,549",550,1
222,,Total:,721,,15,,651,55,4
223,,Total:,"9,768,215","+64,885","493,090","+2,101","5,290,746","3,984,379","57,494"
