,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"8,943,566","+35,011","467,272","+1,006","4,756,688","3,719,606","54,569"
1,1,USA,"2,330,769",+191,"121,983 ",+3,"973,055","1,235,731","16,529"
2,2,Brazil,"1,070,139",,"50,058 ",,"543,186","476,895","8,318"
3,3,Russia,"584,680","+7,728","8,111 ",+109,"339,711","236,858","2,300"
4,4,India,"412,788","+1,061","13,290 ",+13,"228,504","170,994","8,944"
5,5,UK,"303,110",,"42,589 ",,N/A,N/A,379
6,6,Spain,"293,018",,"28,322 ",,N/A,N/A,617
7,7,Peru,"251,338",,"7,861 ",,"138,763","104,714","1,143"
8,8,Italy,"238,275",,"34,610 ",,"182,453","21,212",152
9,9,Chile,"236,748",,"4,295 ",,"196,609","35,844","1,951"
10,10,Iran,"204,952","+2,368","9,623 ",+116,"163,591","31,738","2,887"
11,11,Germany,"191,216",,"8,961 ",,"174,900","7,355",376
12,12,Turkey,"186,493",,"4,927 ",,"158,828","22,738",781
13,13,Pakistan,"176,617","+4,951","3,501 ",+119,"67,892","105,224",111
14,14,Mexico,"175,202","+4,717","20,781 ",+387,"131,686","22,735",378
15,15,France,"160,093",,"29,633 ",,"74,312","56,148",715
16,16,Saudi Arabia,"154,233",,"1,230 ",,"98,917","54,086","1,955"
17,17,Bangladesh,"112,306","+3,531","1,464 ",+39,"45,077","65,765",1
18,18,Canada,"101,019",,"8,410 ",,"63,488","29,121","2,014"
19,19,South Africa,"92,681",,"1,877 ",,"50,326","40,478",208
20,20,Qatar,"86,488",,94 ,,"66,763","19,631",224
21,21,Colombia,"65,633",,"2,126 ",,"25,499","38,008",335
22,22,Belgium,"60,550",,"9,696 ",,"16,771","34,083",50
23,23,Belarus,"58,505",+569,346 ,+3,"37,666","20,493",89
24,24,Sweden,"56,043",,"5,053 ",,N/A,N/A,272
25,25,Egypt,"53,758",,"2,106 ",,"14,327","37,325",41
26,26,Ecuador,"49,731",,"4,156 ",,"24,446","21,129",234
27,27,Netherlands,"49,502",,"6,089 ",,N/A,N/A,57
28,28,Indonesia,"45,891",+862,"2,465 ",+36,"18,404","25,022",
29,29,UAE,"44,533",,301 ,,"31,754","12,478",1
30,30,Singapore,"42,095",+262,26 ,,"34,224","7,845",1
31,31,Argentina,"41,204",,992 ,,"12,206","28,006",353
32,32,Kuwait,"39,145",,319 ,,"30,726","8,100",180
33,33,Portugal,"38,841",,"1,528 ",,"24,906","12,407",70
34,34,Ukraine,"36,560",+735,"1,002 ",+8,"16,509","19,049",350
35,35,Poland,"31,931",+311,"1,356 ",+10,"16,683","13,892",71
36,36,Switzerland,"31,292",+49,"1,956 ",,"28,900",436,16
37,37,Philippines,"30,052",+652,"1,169 ",+19,"7,893","20,990",82
38,38,Oman,"29,471",+905,131 ,+3,"15,552","13,788",101
39,39,Iraq,"29,222",,"1,013 ",,"13,211","14,998",212
40,40,Afghanistan,"28,833",+409,581 ,+12,"8,764","19,488",19
41,41,Dominican Republic,"25,778",,655 ,,"14,957","10,166",174
42,42,Ireland,"25,374",,"1,715 ",,"22,698",961,17
43,43,Panama,"25,222",,493 ,,"14,359","10,370",107
44,44,Romania,"24,045",+315,"1,512 ",+12,"16,911","5,622",195
45,45,Bolivia,"23,512","+1,036",740 ,+25,"5,086","17,686",71
46,46,Bahrain,"21,331",,61 ,+1,"15,790","5,480",33
47,47,Israel,"20,686",+53,305 ,,"15,664","4,717",43
48,48,Armenia,"20,268",+560,350 ,+18,"9,002","10,916",10
49,49,Nigeria,"19,808",,506 ,,"6,718","12,584",7
50,50,Japan,"17,799",,952 ,,"16,077",770,61
51,51,Austria,"17,323",,688 ,,"16,175",460,8
52,52,Kazakhstan,"17,225",+446,118 ,,"10,719","6,388",121
53,53,Moldova,"13,953",,464 ,,"7,745","5,744",440
54,54,Ghana,"13,717",,85 ,,"10,074","3,558",6
55,55,Serbia,"12,803",,260 ,,"11,511","1,032",18
56,56,Guatemala,"12,755",+246,514 ,+31,"2,558","9,683",5
57,57,S. Korea,"12,421",+48,280 ,,"10,868","1,273",15
58,58,Denmark,"12,391",,600 ,,"11,282",509,6
59,59,Honduras,"12,306","+1,048",358 ,+9,"1,275","10,673",13
60,60,Azerbaijan,"12,238",,148 ,,"6,516","5,574",66
61,61,Algeria,"11,631",,837 ,,"8,324","2,470",38
62,62,Cameroon,"11,610",,301 ,,"7,702","3,607",28
63,63,Czechia,"10,448",,336 ,,"7,477","2,635",9
64,64,Morocco,"9,957",+118,213 ,,"8,249","1,495",7
65,65,Nepal,"9,026",+421,23 ,+1,"1,772","7,231",
66,66,Norway,"8,742",,244 ,,"8,138",360,5
67,67,Sudan,"8,580",+164,521 ,+8,"3,325","4,734",
68,68,Malaysia,"8,572",+16,121 ,,"8,156",295,3
69,69,Australia,"7,461",+25,102 ,,"6,896",463,2
70,70,Ivory Coast,"7,276",,52 ,,"2,992","4,232",
71,71,Finland,"7,143",+1,326 ,,"6,200",617,2
72,72,Uzbekistan,"6,216",+63,19 ,,"4,290","1,907",16
73,73,DRC,"5,826",+154,130 ,+5,841,"4,855",
74,74,Senegal,"5,783",,82 ,,"3,859","1,842",16
75,75,Tajikistan,"5,399",,52 ,,"3,894","1,453",
76,76,Haiti,"5,077",+97,88 ,+1,24,"4,965",
77,77,North Macedonia,"5,005",,233 ,,"1,904","2,868",34
78,78,Guinea,"4,960",,27 ,,"3,630","1,303",24
79,79,El Salvador,"4,626",+151,98 ,+5,"2,535","1,993",136
80,80,Djibouti,"4,565",,45 ,,"3,565",955,
81,81,Kenya,"4,478",,121 ,,"1,586","2,771",7
82,82,Ethiopia,"4,469",,72 ,,"1,122","3,275",30
83,83,Gabon,"4,428",,34 ,,"1,750","2,644",9
84,84,Luxembourg,"4,105",,110 ,,"3,951",44,
85,85,Hungary,"4,094",+8,570 ,,"2,589",935,15
86,86,Bulgaria,"3,872",,199 ,,"2,027","1,646",13
87,87,Venezuela,"3,789",,33 ,,835,"2,921",6
88,88,Bosnia and Herzegovina,"3,273",,169 ,,"2,241",863,4
89,89,Greece,"3,256",,190 ,,"1,374","1,692",9
90,90,Kyrgyzstan,"3,151",+170,37 ,+2,"2,011","1,103",30
91,91,Thailand,"3,148",+1,58 ,,"3,018",72,1
92,92,Mauritania,"2,813",,108 ,,696,"2,009",8
93,93,CAR,"2,808",+122,23 ,+4,472,"2,313",2
94,94,Somalia,"2,755",,88 ,,751,"1,916",2
95,95,Mayotte,"2,404",,31 ,,"2,066",307,8
96,96,Cuba,"2,309",,85 ,,"2,071",153,1
97,97,Croatia,"2,299",,107 ,,"2,142",50,
98,98,Maldives,"2,187",,8 ,,"1,788",391,9
99,99,French Guiana,"2,163",,5 ,,890,"1,268",13
