,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,,World,"8,478,604","+50,004","452,252","+1,800","4,444,535","3,581,817","54,486"
1,1,USA,"2,236,052","+1,581","119,980 ",+39,"918,796","1,197,276","16,644"
2,2,Brazil,"960,309",,"46,665 ",,"503,507","410,137","8,318"
3,3,Russia,"561,091","+7,790","7,660 ",+182,"313,963","239,468","2,300"
4,4,India,"368,705","+1,441","12,280 ",+18,"195,139","161,286","8,944"
5,5,UK,"300,469","+1,218","42,288 ",+135,N/A,N/A,379
6,6,Spain,"291,763",,"27,136 ",,N/A,N/A,617
7,7,Peru,"240,908",,"7,257 ",,"128,622","105,029","1,111"
8,8,Italy,"237,828",,"34,448 ",,"179,455","23,925",163
9,9,Chile,"220,628",,"3,615 ",,"156,232","60,781","1,794"
10,10,Iran,"197,647","+2,596","9,272 ",+87,"156,991","31,384","2,795"
11,11,Germany,"189,504",,"8,927 ",,"173,600","6,977",406
12,12,Turkey,"182,727",,"4,861 ",,"154,640","23,226",745
13,13,Pakistan,"160,118","+5,358","3,093 ",+118,"59,215","97,810",111
14,14,Mexico,"159,793","+4,930","19,080 ",+770,"119,355","21,358",378
15,15,France,"158,174",,"29,575 ",,"73,667","54,932",772
16,16,Saudi Arabia,"145,991","+4,757","1,139 ",+48,"93,915","50,937","1,877"
17,17,Bangladesh,"102,292","+3,803","1,343 ",+38,"40,164","60,785",1
18,18,Canada,"99,853",,"8,254 ",,"62,017","29,582","1,982"
19,19,Qatar,"84,441","+1,267",86 ,+4,"63,642","20,713",230
20,20,South Africa,"80,412",,"1,674 ",,"44,331","34,407",208
21,21,Belgium,"60,348",+104,"9,683 ",+8,"16,724","33,941",60
22,22,Colombia,"57,046",,"1,864 ",,"21,326","33,856",335
23,23,Belarus,"56,657",+625,331 ,+7,"34,023","22,303",92
24,24,Sweden,"56,043","+1,481","5,053 ",+12,N/A,N/A,272
25,25,Netherlands,"49,319",+115,"6,078 ",+4,N/A,N/A,73
26,26,Egypt,"49,219",,"1,850 ",,"13,141","34,228",41
27,27,Ecuador,"48,490",,"4,007 ",,"23,881","20,602",230
28,28,UAE,"43,752",+388,298 ,+3,"30,241","13,213",1
29,29,Indonesia,"42,762","+1,331","2,339 ",+63,"16,798","23,625",
30,30,Singapore,"41,473",+257,26 ,,"31,938","9,509",2
31,31,Portugal,"38,089",+417,"1,524 ",+1,"24,010","12,555",67
32,32,Kuwait,"38,074",+541,308 ,+2,"29,512","8,254",188
33,33,Argentina,"35,552",,929 ,+16,"10,721","23,902",274
34,34,Ukraine,"34,063",+829,966 ,+23,"15,447","17,650",327
35,35,Switzerland,"31,200",+13,"1,956 ",,"28,900",344,18
36,36,Poland,"31,015",+314,"1,316 ",+30,"15,317","14,382",72
37,37,Philippines,"27,799",+561,"1,116 ",+8,"7,090","19,593",417
38,38,Afghanistan,"27,532",+658,546 ,+42,"7,660","19,326",19
39,39,Oman,"26,818",+739,119 ,+3,"13,264","13,435",102
40,40,Ireland,"25,341",,"1,710 ",,"22,698",933,28
41,41,Iraq,"24,254",,773 ,,"10,770","12,711",159
42,42,Dominican Republic,"24,105",,633 ,,"14,216","9,256",137
43,43,Romania,"23,080",+320,"1,473 ",+22,"16,308","5,299",178
44,44,Panama,"22,597",,470 ,,"13,774","8,353",107
45,45,Bolivia,"20,685",+802,679 ,+20,"4,002","16,004",71
46,46,Bahrain,"19,961",,53 ,+4,"14,185","5,723",27
47,47,Israel,"19,894",+111,303 ,,"15,499","4,092",39
48,48,Armenia,"18,698",+665,309 ,+7,"7,560","10,829",10
49,49,Nigeria,"17,735",,469 ,,"5,967","11,299",7
50,50,Japan,"17,628",,931 ,,"15,850",847,70
51,51,Austria,"17,223",+20,688 ,+1,"16,101",434,8
52,52,Kazakhstan,"15,877",+335,100 ,+3,"10,065","5,712",77
53,53,Moldova,"13,106",+374,444 ,+11,"7,252","5,410",444
54,54,Serbia,"12,616",+94,258 ,+1,"11,511",847,17
55,55,Ghana,"12,590",,66 ,,"4,410","8,114",6
56,56,Denmark,"12,344",+50,600 ,+2,"11,242",502,6
57,57,S. Korea,"12,257",+59,280 ,+1,"10,800","1,177",15
58,58,Azerbaijan,"11,329",+338,139 ,+6,"6,192","4,998",66
59,59,Algeria,"11,268",,799 ,,"7,943","2,526",41
60,60,Guatemala,"11,251",+545,432 ,+14,"2,200","8,619",5
61,61,Honduras,"10,299",+643,336 ,+6,"1,116","8,847",13
62,62,Czechia,"10,176",+14,333 ,,"7,401","2,442",12
63,63,Cameroon,"9,864",,276 ,,"5,570","4,018",28
64,64,Morocco,"9,042",+45,213 ,,"7,999",830,7
65,65,Norway,"8,707",+15,244 ,+1,"8,138",325,5
66,66,Malaysia,"8,529",+14,121 ,,"8,000",408,4
67,67,Sudan,"8,020",,487 ,,"2,966","4,567",
68,68,Nepal,"7,848",+671,22 ,+2,"1,186","6,640",
69,69,Australia,"7,391",+21,102 ,,"6,877",412,2
70,70,Finland,"7,119",+2,326 ,,"6,200",593,2
71,71,Ivory Coast,"6,063",,48 ,,"2,749","3,266",
72,72,Uzbekistan,"5,730",+48,19 ,,"4,166","1,545",12
73,73,Senegal,"5,475",+106,76 ,+3,"3,716","1,683",16
74,74,DRC,"5,283",+183,117 ,+2,685,"4,481",
75,75,Tajikistan,"5,279",+58,51 ,,"3,762","1,466",
76,76,Haiti,"4,688",+141,82 ,+2,24,"4,582",
77,77,Guinea,"4,668",,26 ,,"3,364","1,278",24
78,78,North Macedonia,"4,664",+182,216 ,+6,"1,836","2,612",34
79,79,Djibouti,"4,545",,43 ,,"3,411","1,091",
80,80,Kenya,"4,257",+213,117 ,+10,"1,459","2,681",7
81,81,Gabon,"4,229",,30 ,,"1,505","2,694",15
82,82,El Salvador,"4,200",+134,82 ,+3,"2,235","1,883",143
83,83,Luxembourg,"4,085",,110 ,,"3,935",40,1
84,84,Hungary,"4,079",+1,568 ,+1,"2,564",947,15
85,85,Ethiopia,"3,954",+195,65 ,+2,934,"2,955",30
86,86,Bulgaria,"3,542",,184 ,,"1,880","1,478",12
87,87,Venezuela,"3,386",,28 ,,835,"2,523",5
88,88,Greece,"3,203",,187 ,,"1,374","1,642",11
89,89,Bosnia and Herzegovina,"3,174",+33,168 ,,"2,219",787,4
90,90,Thailand,"3,141",+6,58 ,,"2,997",86,1
91,91,Somalia,"2,719",+23,88 ,,724,"1,907",2
92,92,Kyrgyzstan,"2,657",+95,31 ,+1,"1,933",693,12
93,93,CAR,"2,564",,18 ,,402,"2,144",2
94,94,Mayotte,"2,383",+38,29 ,,"2,066",288,10
95,95,Cuba,"2,295",+15,85 ,+1,"2,020",190,5
96,96,Croatia,"2,269",+11,107 ,,"2,142",20,
97,97,Mauritania,"2,223",,95 ,,427,"1,701",8
98,98,Maldives,"2,120",,8 ,,"1,677",435,9
99,99,Estonia,"1,977",,69 ,,"1,748",160,
100,100,Sri Lanka,"1,926",+2,11 ,,"1,421",494,1
101,101,Mali,"1,890",,107 ,,"1,168",615,
102,102,Costa Rica,"1,871",,12 ,,899,960,3
103,103,Nicaragua,"1,823",,64 ,,"1,238",521,
104,104,Iceland,"1,816",+1,10 ,,"1,801",5,
105,105,South Sudan,"1,813",,31 ,,89,"1,693",2
106,106,Albania,"1,788",+66,39 ,+1,"1,086",663,9
107,107,Lithuania,"1,784",+6,76 ,,"1,449",259,16
108,108,Equatorial Guinea,"1,664",,32 ,,515,"1,117",
109,109,Slovakia,"1,562",+1,28 ,,"1,443",91,
110,110,French Guiana,"1,554",,5 ,,663,886,13
