,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
0,0,World,9111441,72346,471824,2220,4883071,3756546,57795
1,1,USA,2366957,10300,122373,126,984259,1260325,16472
2,2,Brazil,1090349,3359,50737,78,579226,460386,8318
3,3,Russia,592280,7600,8206,95,344416,239658,2300
4,4,India,435560,8650,13876,173,245216,176468,8944
5,5,UK,305289,958,42647,15,0,0,330
6,6,Spain,293584,232,28324,1,0,0,617
7,7,Peru,254936,0,8045,0,141967,104924,1143
8,8,Chile,246963,4608,4502,23,205397,37064,2014
9,9,Italy,238720,221,34657,23,183426,20637,127
10,10,Iran,207525,2573,9742,119,166427,31356,2898
11,11,Germany,191718,143,8964,2,175300,7454,368
12,12,Turkey,187685,0,4950,0,160240,22495,803
13,13,Pakistan,181088,4471,3590,89,71458,106040,3219
14,14,Mexico,180545,5343,21825,1044,135279,23441,378
15,15,Saudi Arabia,161005,3393,1307,40,105175,54523,2045
16,16,France,160377,0,29640,0,74372,56365,715
17,17,Bangladesh,115786,3480,1502,38,46755,67529,1
18,18,Canada,101498,161,8433,3,64100,28965,2026
19,19,South Africa,97302,0,1930,0,51608,43764,208
20,20,Qatar,88403,1034,99,1,69956,18348,219
21,21,Colombia,68652,0,2237,0,27360,39055,335
22,22,Belgium,60550,0,9696,0,16771,34083,50
23,23,Belarus,59023,518,351,5,37923,20749,89
24,24,Sweden,56043,0,5053,0,0,0,200
25,25,Egypt,55233,0,2193,0,14736,38304,41
26,26,Ecuador,50640,0,4223,0,24991,21426,273
27,27,Netherlands,49658,65,6090,0,0,0,55
28,28,Indonesia,46845,954,2500,35,18735,25610,0
29,29,UAE,44925,0,302,0,32415,12208,1
30,30,Argentina,42785,0,1016,5,13153,28616,353
31,31,Singapore,42313,218,26,0,35590,6697,1
32,32,Kuwait,40291,641,330,4,31770,8191,181
33,33,Portugal,39392,259,1534,4,25548,12310,72
34,34,Ukraine,37241,681,1012,10,16642,19587,353
35,35,Iraq,32676,1808,1167,67,14785,16724,222
36,36,Poland,32227,296,1359,3,17076,13792,72
37,37,Switzerland,31310,18,1956,0,29000,354,16
38,38,Oman,31076,1605,137,6,16408,14531,100
39,39,Philippines,30682,630,1177,8,8143,21362,82
40,40,Afghanistan,29143,310,598,17,8841,19704,19
41,41,Dominican Republic,27370,693,669,7,15338,11363,175
42,42,Panama,26030,0,501,0,14359,11170,129
43,43,Ireland,25383,4,1717,2,22698,968,17
44,44,Bolivia,24388,876,773,33,5454,18161,71
45,45,Romania,24291,246,1523,11,17031,5737,195
46,46,Bahrain,21764,0,64,1,16419,5281,32
47,47,Israel,21008,230,307,1,15761,4940,45
48,48,Armenia,20588,320,360,10,9131,11097,10
49,49,Nigeria,20244,0,518,0,6879,12847,7
50,50,Japan,17864,0,953,0,16108,803,59
51,51,Kazakhstan,17732,507,127,7,11158,6447,121
52,52,Austria,17380,39,690,0,16241,449,10
53,53,Moldova,14363,163,480,7,8019,5864,440
54,54,Ghana,14154,147,85,0,10473,3596,6
55,55,Azerbaijan,13207,478,161,7,7168,5878,66
56,56,Guatemala,13145,390,531,17,2711,9903,5
57,57,Serbia,12990,96,262,1,11997,731,19
58,58,Honduras,12769,463,363,5,1293,11113,13
59,59,Denmark,12527,136,602,2,11347,578,7
60,60,S. Korea,12438,17,280,0,10881,1277,15
61,61,Algeria,11920,149,852,7,8559,2509,41
62,62,Cameroon,11892,0,303,0,7710,3879,28
63,63,Czechia,10523,25,336,0,7537,2650,9
64,64,Morocco,10172,195,214,0,8366,1592,7
65,65,Nepal,9561,535,23,0,2148,7390,0
66,66,Norway,8745,0,248,4,8138,359,7
67,67,Sudan,8698,118,533,12,3460,4705,0
68,68,Malaysia,8587,15,121,0,8177,289,2
69,69,Ivory Coast,7492,0,54,0,3068,4370,0
70,70,Australia,7474,13,102,0,6903,469,2
71,71,Finland,7144,1,327,1,6400,417,2
72,72,Uzbekistan,6401,86,19,0,4450,1932,18
73,73,Senegal,5970,82,86,2,3953,1931,21
74,74,DRC,5924,98,135,5,856,4933,0
75,75,Tajikistan,5457,0,52,0,3995,1410,0
76,76,Haiti,5211,134,88,0,24,5099,0
77,77,North Macedonia,5196,90,247,9,1974,2975,55
78,78,Guinea,4988,0,27,0,3669,1292,24
79,79,El Salvador,4808,182,107,9,2655,2046,149
80,80,Kenya,4797,59,125,2,1680,2992,7
81,81,Ethiopia,4663,131,75,1,1297,3291,38
82,82,Djibouti,4599,17,48,3,3952,599,0
83,83,Gabon,4428,0,34,0,1750,2644,9
84,84,Luxembourg,4121,1,110,0,3959,52,2
85,85,Hungary,4102,8,572,2,2590,940,14
86,86,Venezuela,3917,0,33,0,835,3049,6
87,87,Bulgaria,3905,0,199,0,2074,1632,13
88,88,Bosnia and Herzegovina,3525,94,171,2,2270,1084,4
89,89,Kyrgyzstan,3356,205,40,3,2021,1295,30
90,90,Greece,3287,21,190,0,1374,1723,9
91,91,Thailand,3151,3,58,0,3022,71,1
92,92,Mauritania,2984,0,111,0,811,2062,11
93,93,CAR,2808,0,23,0,472,2313,2
94,94,Somalia,2779,0,90,0,782,1907,2
95,95,French Guiana,2441,0,6,0,930,1505,14
96,96,Mayotte,2434,30,31,0,2188,215,11
97,97,Croatia,2336,19,107,0,2142,87,0
98,98,Cuba,2315,3,85,0,2113,117,1
99,99,Costa Rica,2213,0,12,0,1032,1169,4
100,100,Maldives,2203,0,8,0,1803,392,9
101,101,Albania,1995,33,44,0,1159,792,10
102,102,Estonia,1981,0,69,0,1765,147,1
103,103,Mali,1961,28,111,2,1266,584,0
104,104,Sri Lanka,1951,1,11,0,1526,414,1
105,105,South Sudan,1916,24,35,1,190,1691,2
106,106,Nicaragua,1823,0,64,0,1238,521,0
107,107,Iceland,1823,0,10,0,1805,8,0
108,108,Lithuania,1801,3,76,0,1475,250,16
109,109,Equatorial Guinea,1664,0,32,0,515,1117,0
110,110,Madagascar,1640,44,15,1,692,933,8
111,111,Lebanon,1603,16,32,0,1077,494,8
112,112,Slovakia,1588,1,28,0,1447,113,0
113,113,Guinea-Bissau,1541,0,17,0,153,1371,5
114,114,Slovenia,1521,1,109,0,1376,36,1
115,115,New Zealand,1513,2,22,0,1482,9,0
116,116,Zambia,1430,0,11,0,1194,225,1
